,Unnamed: 0,company_name,ceo,founded,size,revenue,industry
137,16,Aspiration Partners,-1,-1,-1,-1,-1
138,17,The Building People,Lawrence Melton - ,2012,201 to 500,$25M to $100M (USD),Government & Public Administration
139,18,Conde Nast,-1,1909,"1001 to 5,000",-1,Media & Communication
140,19,University of California - Irvine,-1,1965,"more than 10,000",$1B to $5B (USD),Education
141,20,GSK,Emma Walmsley,1830,"more than 10,000",more than $10B (USD),Healthcare
142,21,Levi Strauss & Co.,-1,1853,"more than 10,000",$1B to $5B (USD),Retail & Wholesale
143,22,SC Distributors,-1,-1,51 to 200,-1,-1
144,23,HGA,-1,-1,"501 to 1,000",$100M to $500M (USD),Construction & Facilities Services
145,24,PPG Industries,Michael H. McGarry,1883,"more than 10,000",more than $10B (USD),Manufacturing
146,25,H&M,Helena Helmersson,1947,"more than 10,000",more than $10B (USD),Retail & Wholesale
147,26,Verdani Partners,Daniele Horton,-1,11 to 50,$1M to $5M (USD),Management & Consulting
148,27,City of Maitland,-1,-1,"501 to 1,000",-1,Government & Public Administration
149,28,Mars,Grant F. Reid,1911,"more than 10,000",more than $10B (USD),Manufacturing
150,29,State of Tennessee,-1,-1,"more than 10,000",$1M to $5M (USD),Government & Public Administration
